사업장명	검색결과 가게명	평점	리뷰 수
연남술비	suulbi	5.0	24.0
유메오뎅	Yume Fish Cake Yeonnam	4.1	10.0
헤비메탈	Heavy Metal	5.0	15.0
문일리(moonily)	MOONILY PIZZA HOUSE	4.4	21.0
스필아웃	Spill Out (Pizza & Bar)	4.9	136.0
그루비	Groovy	5.0	3.0
그윅	GWEEK	5.0	4.0
화설	화설 연남점 l Hongdae restaurant korean bbq HWASEOL Hongdae Main Store	5.0	372.0
피에스타 연남점	FIESTA7 COFFEE YEONNAM	3.7	3.0
무심	카페 무심 연남(MOOSIM COFFEE CLUB/ MUSIM)	4.7	3.0
제이앤제이슨R	Jay&Jason R	5.0	32.0
서양면옥	서양면옥 연남점 / Western Noodle House Yeonnam Branch / 西洋面屋 延南店 / 西洋麺屋 延南店	4.8	213.0
장끼전	연남동 맛집 장끼전 | Korean Restaurant Jangkki Jeon	4.6	104.0
주식회사 마사비스	마사비스 카페 연남점 (Mercerbis dessert cafe in Yeonnam-dong)	5.0	3.0
스윗 사워 솔트	Sweet Sour Salt	4.8	39.0
코코시에나	홍대 티 오마카세 코코시에나 / Hongdae Premium Tea COCOSIENNA	4.7	22.0
잊힐리야 연남	연남동 맛집 잊힐리야 연남 한식주점 | Forgetless Yeon-nam Korean Bar | 韓国料理 居酒屋 忘れぬ	5.0	28.0
토끼다이닝 연남	토끼다이닝 연남 / Tokki dining Yeonnam-dong Korean dining / 韓国料理 Tokki dining ダイニング	4.6	9.0
수수	수수연남 SUSU Yeonnam	5.0	10.0
이오	이오 한우구이 스키야키 연남점	5.0	22.0
삼십삼유콘(33YUKON)	33유콘	4.6	29.0
팔계집	팔계집 연남 (house of 8grill)	4.9	31.0
나도주스(NADO Juice)	나도	4.1	11.0
더티핑크(DIRTY PINK)	Dirty Pink	3.9	8.0
연남동 느루	연남동 맛집 느루 | hongdae restaurant neuroo yeonnam	4.6	27.0
한촉(HANCHOC)	한촉 연남 Hanchoc	5.0	15.0
브론시스(BRONSIS)	브론시스 [cafe bronsis]	4.4	71.0
빠끼또	빠끼또 Taberna Española	4.5	94.0
