사업장명,작성일,작성자,작성자 정보,별점,리뷰 내용,이미지 링크
연남술비,2달 전,윤지혜,지역 가이드 · 리뷰 12개 · 사진 18장,별표 5개,"남친이랑 연남동 데이트하러 갔다가 발견한 맛집,
가게 분위기도 정말 좋고 저희끼리 얘기하기도 정말 좋았어요 ~ 음식도 양도 많고 맛이 정말 맛있었어요 !!
직원분들이 정말 친절해서 방문하는 내내 정말 좋았어요 ㅎㅎ 연남동 데이트장소로 추천추천 ~~!","https://lh3.googleusercontent.com/geougc-cs/AB3l90DBeGf6mRpiaQR8teJRRh5D_lfZbwLiruewLsJzHI12IGXDwVzYGuE1c9NInTyMufIrSaJESjOXVwukqrnkxV-dYyOAg86lyEjEnIm-WVi2nC0EtKztxVxI3xYZJjQ_ZtSLH0pCIw=w300-h450-p
 https://lh3.googleusercontent.com/geougc-cs/AB3l90CcQsiQyACcgcSeooas-60M6O16m8gWxROk4j-4rOD8qN_JaVoBamcEA3PE89VQ2kFGsifamLKdqMGih7tXqyy3Fq_HRoT6JWCcNLlG9eOPT1MKO_x13V_jT4qgO99UXuLilY0Q=w300-h450-p"
연남술비,5달 전,w J,리뷰 1개 · 사진 2장,별표 5개,"연남 길거리 걷다가 분위기가 좋아서 들어가본 곳인데, 실내 분위기가 더 좋았고 안주 퀄리티랑 맛이 더 좋아서 놀랐네요 서버분들이 너무 친절하고 디테일 하나하나 신경 써주시는 게 머무는 동안 너무 기분 좋게 편안하게 있을 수 있었네요, 소개팅이나 중요한 만남 하기에도 너무 좋아보이고 데이트 장소로도 적합합니다 노래 선곡도 마음에 들고 어느하나 빠진 점이 없던 곳이였네요.","https://lh3.googleusercontent.com/geougc-cs/AB3l90DV4dDVLJgS_KLL-GJBN-JnZE52ew6Ik4gnZuCF_reMKq6TIzWn-UuEnlzwnDdh3U4soMbXEyshTIh2dBOeRHhA-PwgcqztmmfbJAjN9V8fOz6kui3aJFLT99doRSDDgHk59qN7yg=w300-h450-p
 https://lh3.googleusercontent.com/geougc-cs/AB3l90Aq5zYDwC03EPGhegJ5XRK7u083laeTktkTb2zMN5ASV91uxtbFk8Syoq1wqHh8V07NYA_S2sGMIeTiEJsxNg5OhvUPjQA6_E9SUFWu64TjyH3w22OgFFpzUgycxyYfEwz7kB0f=w300-h450-p"
연남술비,2달 전,신정균 (Sergio),지역 가이드 · 리뷰 14개 · 사진 7장,별표 5개,오랜만에 와이프랑 연남동에서 데이트 하다가 발견한 연남동술집!! 인테리어 분위기가 장난 아니더라고요. 음식 비주얼도 짱이고 맛도 짱짱!! 나중에 찾아보니 연남동맛집이더라고요.,"https://lh3.googleusercontent.com/geougc-cs/AB3l90BacHCk1olCUN59oAjPmHMTyEpCtmhvulEzRUcHrXpS6kk-sxvcd2EkhDO9JG9ONaw3cssOhyuzE4RsPt8d4CTpS6O4AoM-vHlDM8UV8fnagkMMJHNO_xYfc33k8fyd2fnO_YaH=w300-h450-p
 https://lh3.googleusercontent.com/geougc-cs/AB3l90DApiEAs_hnAYfuziuhDmr-ZfUDuydM1qYlzEOJfCrPm8YkuXaodll68z5TeIxNl554b11S5TrLHARtxZ4Yi5TB6e8JepUL0SpAXKZcrGwh8ZZoSLAbUAdTeZJlPAj_s947eR0=w300-h450-p"
연남술비,2달 전,아율이네육아일기,지역 가이드 · 리뷰 20개 · 사진 9장,별표 5개,"분위기도 좋고 음식도 깔끔해요!
데이트하기 딱 좋은 가게에요ㅎㅎ
스테이크도 부드러워요!","https://lh3.googleusercontent.com/geougc-cs/AB3l90AT0ZFUy2kNnRsyO5VPvKUV6GblJ07_s-x7EPm3ROA7l6rZdYsoVxH3xe7QlWG4NpAa-XTkfvMV41vNYkyeAFS1sEVcHBSm7pDlXIJENEqFG-MTiqFTgaF-cGJt8h-AGCyRUsc=w300-h450-p
 https://lh3.googleusercontent.com/geougc-cs/AB3l90ANXJLhMpy-um3U3TMwC-h698xlCpHfSx1xa9jmyQPsO7LYOvh7BZkRXXDSuWc32gfQloNFqUMck04H0wja2Qqa5NnwgYjIAvy_mBzo-fc-vgj9ZL1EmcYLvqJfk76GZly9IV4RUg=w300-h450-p"
연남술비,3주 전,dd dd,리뷰 3개,별표 5개,"주말 저녁에 오랜만에 친구들이랑 모임 겸 해서 연남동 술비에 다녀왔어요!! SNS에서 분위기 좋다고 해서 기대 많이 하고 갔는데, 진짜 기대 이상이었어요ㅎㅎㅠㅠ 가게 인테리어가 되게 감각적이고 은은한 조명이 분위기를 완전 살려줘서, 딱 데이트나 친구 모임 장소로 최고더라고요!
테이블도 널찍해서 여럿이 가도 불편하지 않았어여ㅎㅎ…",
연남술비,3주 전,서리송송,리뷰 2개,별표 4개,"지인이랑 연남동 주변에서 놀다가
어디 분위기 좋은 곳 없나 찾아본 술비 연남 인데요 ㅎㅎ
리뷰에 음식이 너무 이쁘고 맛나 보이길래…",
연남술비,3주 전,정,리뷰 3개,별표 5개,남자친구랑 홍대 데이트 갔다가 술비연남 친구한테 추천받아서 가봤어요!! 인테리어도 너무 이쁘고 분위기도 너무 좋아서 다음에는 친구들이랑 방문 하려고요!!ㅎㅎ파스타도 너무 맛있었고 노래도 제가 좋아하는 것만 나와서 더 생각나는 곳이 였습니다!! 친구들이랑 모여서 식사도하고 얘기하기도 좋을 것 같아요ㅎㅎ!!,
연남술비,2달 전,윤슬기,리뷰 1개 · 사진 1장,별표 5개,"분위기 좋은 곳 찾다가 방문했어요!
데이트 장소로 딱?????
인테리어 너무 고급스럽고 음식 맛도 기대이상이었습니다 :-)…",https://lh3.googleusercontent.com/geougc-cs/AB3l90AikKYnvynm_-GFSJ72YGx33jH4_UXvlWQQeyeToYOkgKzd9paTGonbYhmlI1NdEdsDHYtR-Zt8plA2Gp75d1o_x8iFLgiRMHWIxAWgUnX5QzQexJYr1HQlf2KPESU1jWx-pD4a=w600-h450-p
연남술비,3주 전,바이쥬,리뷰 3개,별표 5개,분위기 너무 좋아요!!! 데이트하기도 너무 좋네요~스테이크 너무 맛있어요! 연남동가면 또 재방문해야겠어요~ 간만에 분위기 좋은데 맛까지 있는 매장 찾아서 너무 좋네요??,
연남술비,2달 전,Amy,지역 가이드 · 리뷰 8개 · 사진 1장,별표 5개,분위기도 좋으면서 맛도 있는 저의 최애집이에요:) 남자친구도 여기 음식 너무 좋아하고 잘 먹어서 벌써 세번째 방문이네요~~ 특히 감자채전 정말 최곱니다 무조건 먹어요 ㅎㅎ,https://lh3.googleusercontent.com/geougc-cs/AB3l90DNja8Ph3LiB1pUApdvooISkViCazTBw4hKme0MAqmWj-gPadLenk1GZiKN24gu9WH8S3_zko7k7mo-ur03cwGuqY4Rvut34deG5HkjBqUFI3VFp8TbzNoHgWNVWuc14jSDoG02=w600-h450-p
