사업장명,작성일,작성자,작성자 프로필 링크,작성자 정보,별점,리뷰 내용,이미지 링크
연남술비,2달 전,윤지혜,https://www.google.com/maps/contrib/106878566457681609267/reviews?hl=ko,지역 가이드 · 리뷰 12개 · 사진 18장,별표 5개,"남친이랑 연남동 데이트하러 갔다가 발견한 맛집,
가게 분위기도 정말 좋고 저희끼리 얘기하기도 정말 좋았어요 ~ 음식도 양도 많고 맛이 정말 맛있었어요 !!
직원분들이 정말 친절해서 방문하는 내내 정말 좋았어요 ㅎㅎ 연남동 데이트장소로 추천추천 ~~!","https://lh3.googleusercontent.com/geougc-cs/AB3l90A1R9A_1dFrwk7SS6Af4KW1F6kwdR8HQnVPGP2-jAIolXFUs2kEq4ihNVQrJdx2xOKRYcuZQLkx7p_uCdf94Ihl-QqBfyUAuDII9eso5VWvVlPIam4ixa2h0RX6O-xSkrNa0OD6Hw=w300-h450-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90CDdz32q-sT0_J1A-FQfmNwrZAMmqthMTyVx1uVYO0pbNuI812HE5tpy1DyKJrpWVuAynJ4J6rXGnrIgcauNCv13dTg9fq9yYRxII9VHISkxPqUQfDo0VrkxlXGIyzYA--qDIvT=w300-h450-p"
연남술비,5달 전,w J,https://www.google.com/maps/contrib/117543121152226476583/reviews?hl=ko,리뷰 1개 · 사진 2장,별표 5개,"연남 길거리 걷다가 분위기가 좋아서 들어가본 곳인데, 실내 분위기가 더 좋았고 안주 퀄리티랑 맛이 더 좋아서 놀랐네요 서버분들이 너무 친절하고 디테일 하나하나 신경 써주시는 게 머무는 동안 너무 기분 좋게 편안하게 있을 수 있었네요, 소개팅이나 중요한 만남 하기에도 너무 좋아보이고 데이트 장소로도 적합합니다 노래 선곡도 마음에 들고 어느하나 빠진 점이 없던 곳이였네요.","https://lh3.googleusercontent.com/geougc-cs/AB3l90DAAF-ecoc2ff7n0K6AjugM6l7U8SbI2oJWHM2WwmumPzzgVPrDbm4gnrm0Np4qp3G5N2VdRowHMDbToOqqIq9i0uMfxTbcmn-rpdOe-POOgXRTASDig9We62xxb_rqcsIiWwKsLg=w300-h450-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90BTpy06-HVRrGQ_ADb8y0o9P6YR1oPcmWmcTrQmnB4-1z-yaxeVoaXqo241ExyjyuND4WQb0kXeyWFJ5r83L0KMjtFaq1LANuA981EPVug6X-uqS-uuMFQWbJ2v8vZxYc1O9OWl=w300-h450-p"
연남술비,2달 전,신정균 (Sergio),https://www.google.com/maps/contrib/109209590540983722414/reviews?hl=ko,지역 가이드 · 리뷰 14개 · 사진 7장,별표 5개,오랜만에 와이프랑 연남동에서 데이트 하다가 발견한 연남동술집!! 인테리어 분위기가 장난 아니더라고요. 음식 비주얼도 짱이고 맛도 짱짱!! 나중에 찾아보니 연남동맛집이더라고요.,"https://lh3.googleusercontent.com/geougc-cs/AB3l90BO-JS8PZoVDCA6n6rcXb51qQUNKAFLE-OavGhlH7RfdKv3B9uKxVjIC8WQe3bD9lNwJstmvyPLcCqdlqaRUMSSB_X3K8gjgfJZztav_m3DutqsdXZkzNqgmiUZE9FPuy1N1JVg=w300-h450-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90DUbOfdzfNxEq_bfAR5Yp1m4GaJ8-9twKkYcisLyHxTJh10PVol3Nj35O6ubPg4DqDFWFJHFsiMtRC_UT7aY-9dyPLQjsP1eNHrqjMP3T_Gyi2lHcn1BW3vNi_0kx2FJz8fmKk=w300-h450-p"
연남술비,2달 전,아율이네육아일기,https://www.google.com/maps/contrib/114512650651925973153/reviews?hl=ko,지역 가이드 · 리뷰 20개 · 사진 9장,별표 5개,"분위기도 좋고 음식도 깔끔해요!
데이트하기 딱 좋은 가게에요ㅎㅎ
스테이크도 부드러워요!","https://lh3.googleusercontent.com/geougc-cs/AB3l90CacDqPJhkHT2qyvWaGTu-u6AKq6c99tMQIfCXQ70cIC-Dzv33zTVwt3v5L3K-zGOmvXVAnGmYeQX2wLaVUgXk2iU3HzPWcWXmKYYV3sG7BtwVsXRw-xFKyc0sS767m7EwHC1o=w300-h450-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90CdinkjC_eZByoFOeyN1YkSvJV_JbWTQpDu-YrofCB9lja0bu4nwyrNhVN5WIAvsxf-2T0W75b5UcDVuM7Mz7V_VU3gPCR3_1dRchyEi2d5Lac6JafK_HGwjUXtSPe2h-66klanCg=w300-h450-p"
연남술비,4주 전,dd dd,https://www.google.com/maps/contrib/106477729721664636706/reviews?hl=ko,리뷰 3개,별표 5개,"주말 저녁에 오랜만에 친구들이랑 모임 겸 해서 연남동 술비에 다녀왔어요!! SNS에서 분위기 좋다고 해서 기대 많이 하고 갔는데, 진짜 기대 이상이었어요ㅎㅎㅠㅠ 가게 인테리어가 되게 감각적이고 은은한 조명이 분위기를 완전 살려줘서, 딱 데이트나 친구 모임 장소로 최고더라고요!
테이블도 널찍해서 여럿이 가도 불편하지 않았어여ㅎㅎ…",
연남술비,4주 전,정,https://www.google.com/maps/contrib/107884033346148823486/reviews?hl=ko,리뷰 3개,별표 5개,남자친구랑 홍대 데이트 갔다가 술비연남 친구한테 추천받아서 가봤어요!! 인테리어도 너무 이쁘고 분위기도 너무 좋아서 다음에는 친구들이랑 방문 하려고요!!ㅎㅎ파스타도 너무 맛있었고 노래도 제가 좋아하는 것만 나와서 더 생각나는 곳이 였습니다!! 친구들이랑 모여서 식사도하고 얘기하기도 좋을 것 같아요ㅎㅎ!!,
연남술비,4주 전,서리송송,https://www.google.com/maps/contrib/105345065971790174561/reviews?hl=ko,리뷰 2개,별표 4개,"지인이랑 연남동 주변에서 놀다가
어디 분위기 좋은 곳 없나 찾아본 술비 연남 인데요 ㅎㅎ
리뷰에 음식이 너무 이쁘고 맛나 보이길래…",
연남술비,2달 전,윤슬기,https://www.google.com/maps/contrib/114834376599844620572/reviews?hl=ko,리뷰 1개 · 사진 1장,별표 5개,"분위기 좋은 곳 찾다가 방문했어요!
데이트 장소로 딱?????
인테리어 너무 고급스럽고 음식 맛도 기대이상이었습니다 :-)…",https://lh3.googleusercontent.com/geougc-cs/AB3l90D01stuC0t-kiAvrFYu3reGD3Bk9j0n5wuDDp3r0xgn7swwM-yqxlRgqPxmQlaq3k6IwNSE9JD42IZmbFediNhB_Ne40rAN1s6GqZWz7abWvQf3uLbZIlIg6GdjWrFz50KUTFks=w600-h450-p
연남술비,4주 전,바이쥬,https://www.google.com/maps/contrib/112113019903570272128/reviews?hl=ko,리뷰 3개,별표 5개,분위기 너무 좋아요!!! 데이트하기도 너무 좋네요~스테이크 너무 맛있어요! 연남동가면 또 재방문해야겠어요~ 간만에 분위기 좋은데 맛까지 있는 매장 찾아서 너무 좋네요??,
연남술비,2달 전,Amy,https://www.google.com/maps/contrib/107725413453272990119/reviews?hl=ko,지역 가이드 · 리뷰 9개 · 사진 1장,별표 5개,분위기도 좋으면서 맛도 있는 저의 최애집이에요:) 남자친구도 여기 음식 너무 좋아하고 잘 먹어서 벌써 세번째 방문이네요~~ 특히 감자채전 정말 최곱니다 무조건 먹어요 ㅎㅎ,https://lh3.googleusercontent.com/geougc-cs/AB3l90BxKHW4RTnHmaZj-hKg6DM9Rh6HzOKhHPadGz70-H8taDEvHInDyO18xsRQamkxMSLFFgotl9mZBuD9liqNH3ya1gSEisoZGHGQvXBBO96UB38M34glgIEAm9Hh6Z6PVZOjiF6H=w600-h450-p
