별점,리뷰내용,작성자,작성자 프로필 링크,시간,사업장명
4,"이 집의 순대국은 확실히 독특한 개성이 있다. 국물에 들어간 김치는 달큰하고 젓갈 향이 강하며, 무 또한 마찬가지로 달아서 순대국보다는 밥과의 조화가 더 자연스럽다. 깻잎과 들깨가루가 듬뿍 올려져 있는데, 잡내를 잡기 위한 주방의 고민이 느껴지는 대목이다.
전체적으로 육수에 간이 강하지 않아 첫 맛은 밍밍한 듯하지만, 위에 고명처럼 곱게 올려진 다데기를 풀어주면 감칠맛과 국물의 깊은 풍미가 한층 살아난다. 하지만 다데기만으로는 그 감칠맛이 극대화되지는 않아서, 새우젓이 꼭 들어가야 완성된다. 새우젓을 넣은 후에도 어라? 뭔가 부족한데? 싶은 느낌이 들지만, 어느새 국물만 연거푸 들이키고 있는 자신을 발견하게 된다.
이 집의 순대는 찹쌀, 선지, 채소 등을 돼지 창자에 채워 만든 곱창순대다. 하지만 순대를 감싸고 있는 피의 질감이 다소 약해 내용물을 단단히 잡아주지는 못한다. 우리가 흔히 아는 아바이순대처럼 입안에서 부드럽게 녹는 가운데, 간간이 오도독 꼬득꼬득한 식감이 살아있어 꽤나 기분이 좋다.
진짜 이 집의 강점은 따로 있다. 바로 고기와 내장이다. 신선함을 무기로 다양한 텍스처를 제공하는데, 웬만한 맛집들도 어려워하는 오소리감투 같은 부위의 쓴맛을 이 집은 절묘하게 잡아내고 있다. 다양한 부속 내장을 사용하면서도 각각의 식감을 살리고, 그 맛은 오히려 극대화된다.
국물은 우리가 익히 아는 ‘서일순대국’의 느낌을 닮았다. 하지만 서일순대국이 강렬한 파도를 친다면, 이 집은 잔잔한 파도를 친다. 진한 국물맛이 그리울 때는 당연히 서일순대국으로 가겠지만, 부속 고기의 신선한 질감과 다채로운 맛이 그리워진다면 나는 주저 없이 이 집을 택할 것이다.
고기의 기름기도 적당하게 나와 국물과 어우러지면 고소하고 녹진한 완성형의 맛을 선사한다. 다만, 들깨가루와 깻잎, 고기류에서 나오는 기름들이 국물 속에 머물다 보니, 다 먹고 나면 입 안에 기름기가 살짝 남는다. 어른들은 이를 ‘잘 먹었다’고 표현하겠지만, 내 기준에서 진정한 맛의 정점은 입술에 기름기가 남지 않을 때 완성된다.
이 순대국이 그리워질 것 같지는 않지만, 부속 고기만큼은 지금도 그립다.",마이클쵕,https://www.google.com/maps/contrib/103417134663213627886/reviews,1달 전,순대일번지1
4,"11시45분 오픈.
순대국 특 11,000
(일반과 1,000원차이인데 무슨 고기가 하나 더 들어간다고하셔서 시킴)
양념장이 들어가있어서 빨간스탈이고
맛은 맵거나 하진않고 다양한 부위 고기로
씹는 맛있음. 순대는 2개 들었는데 별로였음.
고기가 더 맛있.
점심에는 국밥만 되고 수육 못시킨다고.
담엔 저녁에 와서 모듬수육 먹어보고싶당.",sunny,https://www.google.com/maps/contrib/113396699686669829787/reviews,8달 전,순대일번지1
4,"술에 취해서 다음날 보니 사진만 있던 순대국밥집
상당히 맛이 있던 기억이 나서 찾아봤다
들깨가루와 깻잎이 킥이며,
아주 특별하진 않지만 그렇다고 해서 맛이 없다고 할 수 없는 맛이다
실패 없는 순대국밥집을 원한다면 바로 여기다",잡식성음악동물,https://www.google.com/maps/contrib/111427116651845770280/reviews,3달 전,순대일번지1
3,예전에 오고 오랫만에 왔는데 사장님이 바뀌셨어요. 원래 사장님이 이제 경영을 못하셔서 친척분이 하신다네요. 양이 줄었고 맛도 살짝 변한것 같아요.,JuneWon Choi,https://www.google.com/maps/contrib/105116410592939750873/reviews,6달 전,순대일번지1
4,"로컬은 로컬인데 10년 전 살던 로컬에게 소개받았음.
일단 먹을거면 무조건 특을 주문할 것.
1천원 차이에 더 많은 고기를 먹을 수 있음 :)

여기는 순대도 순대지만,
순대국에 함께 나오는 고기가 정말 맛있다 :) 밥도 배부른 쌀인데다
김치는 겉절이의 신선한 짠맛(?)을. 그리고 잘 익은 깍두기의 서로 다른맛을
느낄 수 있는 묘미가 있다

줄 서서 기다리며 먹는다는데
운좋게 그냥 착석 흡입함ㅋ

아, 혼자가거나 둘이가게 되면
가게 안에 코카콜라 빨간 둥근 플라스틱 테이블에 앉아서 먹어야 되므로
3ㅡ4명이 가길 추천함",son b.,https://www.google.com/maps/contrib/116389692753246820190/reviews,1년 전,순대일번지1
5,"홍대역에서 몇 분 거리에 있는 아늑한 새 카페입니다. 넓고 햇살 좋은 날에는 큰 창문이 열려 업무, 독서, 휴식에 이상적입니다. 초코 파우더가 듬뿍 뿌려진 가볍고 부드러운 카푸치노는 따뜻한 베이지색 톤과 나무가 보이는 아름다운 유리 천장이 평화로운 휴식처를 선사합니다. 사장님도 친절하고 영어도 잘 하십니다. 북적이는 홍대에서 재충전하기 좋은 곳입니다. 강력 추천합니다!!",seoul.corners,https://www.google.com/maps/contrib/104349655116243197701/reviews,일주일 이내,리틈
5,"rytm. 싱글 오리진 커피에 부어보세요. 주로 차와 함께 커피가 아닌 옵션도 있습니다. 그는 말차와 호지라떼에 말차 거품기를 사용하고, 쑥차에는 차 세트를 사용합니다. 주인분이 친절하시고 영어도 잘 하십니다. 오전 8시부터 오후 8시까지 영업하며 서울에서 커피를 마실 수 있는 지역이었습니다. 주인이 직접 페이스트리를 만듭니다. 우리는 초콜릿 브라우니를 먹어봤는데 정말 맛있었어요! 아침 바람이 잘 통하는 깨끗한 분위기에 적합합니다.",Felicity Ma,https://www.google.com/maps/contrib/117926739712333398805/reviews,2주 전,리틈
5,"제가 마셔본 커피 중 가장 맛있는 곳 중 하나였고, 장소가 너무 좋고 조용해서 누구에게나 추천하고 싶어요. 특히 이곳 주인인 테오는 너무 친절하고 다정해요.",???? ?? ??????,https://www.google.com/maps/contrib/112989099644046468866/reviews,일주일 이내,리틈
5,"오늘 아침, 바쁠 때라 필터/푸어오버 커피를 테이크아웃으로 주문하러 들렀어요. 정말 맛있었어요! 다시 가서 제대로 즐기고 싶었어요. 탁 트인 느낌이 너무 좋았어요. 채광도 아주 좋았어요. 사장님께서 초콜릿 브라우니도 따로 주셨는데, 그것도 프리미엄이었어요!! 다크 초콜릿이 정말 맛있었고, 너무 달지 않았어요.",Alexei Hampson,https://www.google.com/maps/contrib/115627333474950223299/reviews,일주일 이내,리틈
5,"지나가다 와봤는데 생긴 지 얼마 안됐는지 위생이 좋았고 분위기가 좋았어요!
다들 친절하시고 직접 구워주셔서 먹기 너무 편했습니다
같이 먹을 반찬들도 많아서 맘에 들었고 와인도 오픈 기념으로 한 병도 주셔서 와인이랑 고기랑 먹었는데 잘 어울리고 맛있네요",우희,https://www.google.com/maps/contrib/105100369305404067810/reviews,1달 전,미래회관 연남점
4,"연남동에서 데이트 하기 좋고 고기도 다 구워주셔서 먹기만 하면 되는 프라이빗 고기집 입니다.
소개팅 하기에도 너무 좋아보였어요~
돼지고기에 와인 한 잔하러 갈게요",CHANYONG RYAN KIM,https://www.google.com/maps/contrib/115770275251025650930/reviews,3주 전,미래회관 연남점
5,"새로 오픈했길래 방문했는데 너무 깔끔하고 음식 진짜 너무 맛있네요!
직원분들도 너무 친절하시고 분위기도 좋아서 데이트할때 오시는걸 추천드립니다??",won,https://www.google.com/maps/contrib/112623109789844906561/reviews,1달 전,미래회관 연남점
5,"분위기 좋고 메뉴 구성 넘 맘에 들어요!
갈비살 육즙 팡팡 고소한 삼겹살 존똑한 가브리살 다 맛볼
수있어서 넘 맛있게 먹었습니당
직접 구워주시는 전문가의손길 최고에요",신왕조 (개봉땡초),https://www.google.com/maps/contrib/117339199060831706996/reviews,1달 전,미래회관 연남점
5,고기도 직원분들이 직접 구워주시고 친절하게 설명까지 해주시더라구요 반찬들도 너무 맛있고 내부도 너무 이뻐요 저녁에 오면 운치있을거같네요,요리사,https://www.google.com/maps/contrib/103553060361500222786/reviews,1달 전,미래회관 연남점
4,"스프는 삼계탕같은 느낌의 걸쭉한 맛
면은 약간은 소면같은 뚝뚝 끊기는 식감
닭가슴살 차슈는 적당히 탱글
멘마는 두껍고 단단

스프가 미친놈이지만 면이 취향이 아니라...
잘먹었습니다.",Potato fry,https://www.google.com/maps/contrib/117782716754024515751/reviews,1달 전,라멘파이터즈
3,"?????♂??????♂??????♂??????♂?

?? 라멘파이터즈

???♂???? 서울 마포구 동교로38길 27-14 1층

?? 토리파이터

?? 10.000 원

#라멘 #연남동라멘 #라멘파이터즈 #ラ?メン",돌문어숙회,https://www.google.com/maps/contrib/109989133590737369892/reviews,3주 전,라멘파이터즈
5,"멘마와 국물이 인상깊었던 가게
재방문의사 있음",김동현,https://www.google.com/maps/contrib/111268590168932399669/reviews,2주 전,라멘파이터즈
5,,이현아,https://www.google.com/maps/contrib/114366957772840516656/reviews,1달 전,라멘파이터즈
5,"일반 주택의 2층에 있습니다. 아파트 같은 느낌이에요. 훌륭한 70년대 스타일의 커피숍. 그들의 재생목록은 60년대와 70년대에 중점을 두고 있습니다. Stevie Nicks, Beatles, Bee Gees, Sam Cooke… 분위기가 아주 좋아요. 페이스트리도 제공합니다.",Christian Breitkreutz,https://www.google.com/maps/contrib/107805480802818854869/reviews,1달 전,겸사서울
5,"2층에 있는 작은 곳을 발견했는데 새로 오픈한 것 같아요. 들기름과 참기름을 베이스로 한 메뉴입니다. 좋은 음식, 막국수는 꼭 먹어봐야 해요!",Jiayi Tan,https://www.google.com/maps/contrib/114627256380232119032/reviews,1달 전,진청유점
