사업장명,소재지전체주소,도로명전체주소,좌표정보X(EPSG5174),좌표정보Y(EPSG5174),상세보기url
사르르,서울특별시 마포구 연남동 383-100,"서울특별시 마포구 연희로1길 63, 2층 (연남동)",193442.684557388,451030.233680748,
빨강꼬치&꼬떡상회,서울특별시 마포구 연남동 390-71,"서울특별시 마포구 동교로38길 13, 지1층 (연남동)",193303.524529969,451089.39109448,
지라파,서울특별시 마포구 연남동 373-12,"서울특별시 마포구 연남로 8, 1층 (연남동)",193169.497265386,450929.132987199,
돈토키,서울특별시 마포구 연남동 390-28,"서울특별시 마포구 동교로38길 27-19, 지층 B02호 (연남동)",193388.640487997,451076.653833242,
에스유 치즈카페,서울특별시 마포구 연남동 225-29,"서울특별시 마포구 성미산로 175, 지하1층 (연남동)",193333.879086097,451308.487922697,
멜랑커피 연남,서울특별시 마포구 연남동 241-51,"서울특별시 마포구 성미산로29길 40-6, 지1층 (연남동)",193032.172776903,451481.085594908,https://place.map.kakao.com/633908761
순대일번지1,서울특별시 마포구 연남동 259-10,"서울특별시 마포구 동교로 239, 창무빌딩 1층 (연남동)",193223.878781383,451000.669732163,https://place.map.kakao.com/821235252
라디오 시티,서울특별시 마포구 연남동 260-47,"서울특별시 마포구 동교로32길 5, 1층 (연남동)",193272.781796829,450952.297635963,https://place.map.kakao.com/1320883015
서울혼술바 제주아홉 홍대점,서울특별시 마포구 연남동 390-67,"서울특별시 마포구 동교로38안길 7, 지층 (연남동)",193274.889223935,451103.949826811,
하이아시아(High Asia),서울특별시 마포구 연남동 226-26,"서울특별시 마포구 동교로50길 25, 지1층 2호 (연남동)",193512.700438749,451230.461504161,https://place.map.kakao.com/2034930781
오지 서울,서울특별시 마포구 연남동 240-3,"서울특별시 마포구 성미산로 161-11, White House 1층 (연남동)",193187.275663597,451433.46260494,https://place.map.kakao.com/28038850
주실,서울특별시 마포구 연남동 383-41,"서울특별시 마포구 동교로38길 33-14, 1층 (연남동)",193420.169126906,451056.198223125,https://place.map.kakao.com/1872261259
리플리,서울특별시 마포구 연남동 387-19,"서울특별시 마포구 동교로46길 7, 지층 B02호 (연남동)",193335.87044678,451163.924347947,https://place.map.kakao.com/495088563
홍콩데이,서울특별시 마포구 연남동 228-1,"서울특별시 마포구 성미산로 190, 지1층 (연남동)",193406.589451666,451183.710005225,
