사업장명,분류,카카오맵ID,리뷰어이름,리뷰어레벨,후기개수,별점평균,팔로워수,작성일,별점,리뷰내용,사진URL
EP 커피N바,양식,633908761,피트조아,8,7,4.4,0,2023.07.19.,5.0,최고입니다,['//img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F6bd3293cb6e38c0d8fd44c375b8207dfb2632fc2%3Foriginal']
EP 커피N바,양식,633908761,ppp,17,33,3.6,0,2023.07.02.,5.0,맛은 물론이고 너무나 유쾌한 접객. 단골해야 해요,['//img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fe3534eb150c51822c216dea4cb8d143ece155c1a%3Foriginal']
순대일번지,순대,821235252,댕,4,2,1.5,1,2025.05.07.,2.0,굳이...  평점이 왜 높은지 모르겠는...  밥도 설익고 식었고..국물이 그렇게 구미가 당기는지도 모르겠습니다ㅠㅠ 개인적인 의견입니다,N/A
순대일번지,순대,821235252,리브흐,21,47,5,0,2025.03.20.,5.0,가게이름이 납득이갑니다안짜고요 양많아요양념으로 범벅하는 순대국 아니라 좋아요,N/A
순대일번지,순대,821235252,마르스,32,80,3.9,23,2025.02.27.,4.0,순대국특 먹었어요.다대기 들어있으니까 일단 먹어보고 싱거우면 새우젖으로 간해서 드세요.김치도 맛있네요.밥은 무한리필이니까 맘껏 드세요.추가반찬은 셀프입니다 .24시간 영업하고 친절해요.,"['//img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F5214c1acdef1d3c90186f82d738d67ea7d4deb51%3Foriginal', '//img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fbf877ddd41bda14ceaf658d70561bcb3a9f0691a%3Foriginal', '//img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fd70ec616709becb9a66c5e09bd76e5a3614a8253%3Foriginal', '//img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fa4c84d465ee8ed3e57044407749465795c0d5294%3Foriginal', '//img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F137951caa6d12586cec5c85ed2af3cc181b2fc2c%3Foriginal', '//img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F9f4237d3388da852dd4255506608037f224f2d3a%3Foriginal', '//img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F68a4c7db0c07571447a23d9df7f8b3b35dfe3122%3Foriginal']"
순대일번지,순대,821235252,여행 지킴이,32,116,4.7,1,2025.02.10.,5.0,여행타임tv를 운영하는 크리에이터입니다서울시내 순대국집 100군데를 다녀본바로 여긴 상위 클래스급이며 퀄리티가 남다릅니다~개인택시 사장님들께 특히 강추드립니다.아쉬운점은 전용주차장이 없는거 뿐이지만 심야에는적당히 눈치껏 주변공간을 활용하셔도 밤10시이후는주차단속 예외시간입니다~연남동&홍대에서 검증된 가장 맛있는 가성비 순대국집~😅,"['//img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Feead46434b5e4d528bfab03141b6dabd939ffa09%3Foriginal', '//img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F3a03ec37cb83705d3486bf4650eb8531858f7ba3%3Foriginal', '//img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fe350511c1b342c4d037bd024e6a9033cc48a451b%3Foriginal', '//img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F9a5ffea8de93722e71ad69976827eb5c38babb2c%3Foriginal', '//img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F7929bb5d9c0a1970d6f273e7ea6e00e9c6850aa3%3Foriginal', '//img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Ff6d190a564d729f7e510f39dba60ad1cf9e0acf8%3Foriginal', '//img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F3cf4c2fdc4da06125134818dc2d42f045ea355cb%3Foriginal', '//img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F2db9cb275361a14125985d0e220e97523af03b90%3Foriginal', '//img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F5efe98ae96816d86b994da1f2bea7e00c9b870f5%3Foriginal']"
순대일번지,순대,821235252,인혜,3,1,5,0,2025.02.08.,5.0,연남동에서 순대국 처음 먹어봤는데 생각 이상으로 국물이 깔끔하고 고기도 많았습니다! 순대도 크키도 크도 맛도 고소했습니다! (저는 양념장을 만들어서 찍어먹었봤어요 ㅎㅎ) 앗 그리구 미리 사장님께 전화드리고 갔지만 강아지 동반 입장이 가능해서 더 좋았습니다! 해장하기에 더더욱 짱입니다!!ps . 맛있어서 술마시러 한번 더 갔습니다,"['//img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fdcc4142d3f2e249d5a762044faa9064750a22911%3Foriginal', '//img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F32f66ba4da6561c1f632fcb4fd22a6849ec95f60%3Foriginal', '//img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F64274350f0671b5837a47ff463b4b6e703839c76%3Foriginal', '//img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F1cbd7becf127c398e5c50e56d74e460cb84f5db1%3Foriginal', '//img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F9d09915503fefa575c8551a7343f93c9c3bffc51%3Foriginal']"
순대일번지,순대,821235252,동환,21,29,4.6,2,2025.02.08.,5.0,주에 최소 한번은 순대국 수혈해야 살수있는사람인데집근처에 있길래 한번가봤는데 너무 맛있어요! 앞으로 여기 정착할거같아요 잡내도안나고 국물맛도 깔끔하구 고기도많고 밥도 무한리필이고 너무 마음에들어요 대만족!,N/A
순대일번지,순대,821235252,박덕동 곽종필,8,6,3.8,0,2025.02.07.,3.0,김치가 너무 달고 순대도너무적었음,N/A
순대일번지,순대,821235252,맥아리장군,16,21,1.8,1,2025.01.04.,1.0,제가 딱 한마디로 표현하겠습니다 여기는 순대국을 단 한번도 안 먹어본 사장님이 운영하시는거 같습니다이런 식으로 장사했다간 평균은 커녕 건물 월세 내는 것도 부족합니다 이 동네 순대국 집 경쟁상대가 얼마나 많은데 이런 식으로 해서 어떻게 살아 남으시려는지 ....깍두기...순대국집은 깍두기가 생명인데 깍두기도 형편 없구요 깍두기도 너무 조금 주시구요 밥을 세상에 ....그게 애기 밥이지 ...밥을 너무 조금 줘요 여기 사장님은 순대국을 아주 잘하는 집 밑에 들어가서 한참 배우셔야 됩니다,N/A
